"timeMillisSpent","score"
244,"0hard/-132440soft"
263,"0hard/-131780soft"
286,"0hard/-131600soft"
287,"0hard/-131210soft"
291,"0hard/-130860soft"
335,"0hard/-130650soft"
362,"0hard/-130360soft"
456,"0hard/-130280soft"
458,"0hard/-129930soft"
467,"0hard/-129540soft"
469,"0hard/-129330soft"
470,"0hard/-128980soft"
931,"0hard/-128890soft"
1104,"0hard/-128670soft"
1206,"0hard/-128260soft"
1672,"0hard/-128110soft"
1673,"0hard/-127740soft"
3073,"0hard/-127460soft"
3073,"0hard/-127110soft"
8728,"0hard/-127000soft"
9316,"0hard/-126880soft"
10048,"0hard/-126830soft"
10747,"0hard/-126570soft"
11545,"0hard/-126450soft"
11546,"0hard/-126100soft"
13198,"0hard/-125960soft"
13581,"0hard/-125680soft"
13797,"0hard/-125110soft"
15597,"0hard/-124860soft"
16497,"0hard/-124720soft"
17544,"0hard/-124690soft"
17756,"0hard/-124560soft"
18247,"0hard/-124290soft"
18776,"0hard/-124270soft"
18801,"0hard/-124190soft"
19050,"0hard/-124170soft"
19363,"0hard/-124160soft"
19513,"0hard/-124100soft"
19527,"0hard/-124020soft"
19675,"0hard/-123980soft"
19675,"0hard/-123630soft"
21066,"0hard/-123580soft"
21181,"0hard/-123500soft"
21423,"0hard/-123450soft"
21683,"0hard/-123410soft"
22031,"0hard/-123140soft"
22114,"0hard/-122980soft"
22294,"0hard/-122830soft"
22984,"0hard/-122650soft"
23531,"0hard/-122370soft"
25159,"0hard/-122310soft"
25425,"0hard/-122000soft"
25894,"0hard/-121620soft"
27629,"0hard/-121050soft"
29266,"0hard/-121000soft"
29632,"0hard/-120910soft"
29632,"0hard/-120880soft"
30325,"0hard/-120830soft"
30710,"0hard/-120770soft"
31008,"0hard/-120430soft"
31039,"0hard/-120360soft"
31828,"0hard/-120300soft"
32073,"0hard/-120180soft"
32103,"0hard/-119970soft"
32662,"0hard/-119950soft"
33321,"0hard/-119710soft"
33648,"0hard/-119610soft"
34215,"0hard/-119500soft"
34831,"0hard/-119470soft"
35239,"0hard/-119360soft"
35516,"0hard/-119330soft"
35823,"0hard/-119270soft"
35929,"0hard/-119260soft"
35933,"0hard/-119250soft"
36148,"0hard/-119000soft"
36479,"0hard/-118780soft"
36739,"0hard/-118720soft"
37020,"0hard/-118690soft"
37570,"0hard/-118510soft"
38162,"0hard/-118360soft"
39281,"0hard/-118320soft"
39700,"0hard/-118030soft"
39925,"0hard/-118010soft"
40037,"0hard/-117960soft"
40179,"0hard/-117930soft"
40639,"0hard/-117860soft"
40656,"0hard/-117840soft"
40970,"0hard/-117730soft"
40992,"0hard/-117720soft"
41026,"0hard/-117490soft"
41397,"0hard/-117390soft"
42445,"0hard/-117100soft"
