"timeMillisSpent","score"
245,"0hard/-132440soft"
290,"0hard/-131820soft"
302,"0hard/-131780soft"
337,"0hard/-131330soft"
349,"0hard/-130980soft"
363,"0hard/-130340soft"
371,"0hard/-129740soft"
381,"0hard/-129260soft"
395,"0hard/-128910soft"
416,"0hard/-128040soft"
462,"0hard/-128020soft"
564,"0hard/-127670soft"
636,"0hard/-127050soft"
683,"0hard/-126560soft"
690,"0hard/-126210soft"
696,"0hard/-125820soft"
712,"0hard/-125400soft"
721,"0hard/-125050soft"
771,"0hard/-125010soft"
778,"0hard/-124660soft"
812,"0hard/-124100soft"
884,"0hard/-124060soft"
895,"0hard/-123710soft"
976,"0hard/-123670soft"
986,"0hard/-123320soft"
1054,"0hard/-122970soft"
1063,"0hard/-122100soft"
1075,"0hard/-121750soft"
1174,"0hard/-121480soft"
1209,"0hard/-121130soft"
1226,"0hard/-120680soft"
1281,"0hard/-120230soft"
1301,"0hard/-119840soft"
1366,"0hard/-119490soft"
1586,"0hard/-118930soft"
1593,"0hard/-118310soft"
1709,"0hard/-118140soft"
1714,"0hard/-118040soft"
1770,"0hard/-117690soft"
1863,"0hard/-117340soft"
2843,"0hard/-117160soft"
3404,"0hard/-117130soft"
3429,"0hard/-117090soft"
3446,"0hard/-117050soft"
3461,"0hard/-116980soft"
3752,"0hard/-116630soft"
3814,"0hard/-116280soft"
4519,"0hard/-115830soft"
4579,"0hard/-115270soft"
4940,"0hard/-115170soft"
5040,"0hard/-114820soft"
5510,"0hard/-114740soft"
5540,"0hard/-114700soft"
6979,"0hard/-114570soft"
7427,"0hard/-114500soft"
11846,"0hard/-114350soft"
11852,"0hard/-114100soft"
11901,"0hard/-114060soft"
12272,"0hard/-113780soft"
18260,"0hard/-113750soft"
25275,"0hard/-113650soft"
25482,"0hard/-113300soft"
39522,"0hard/-113200soft"
39525,"0hard/-113130soft"
115791,"0hard/-113020soft"
