"timeMillisSpent","score"
590,"0hard/-244360soft"
594,"0hard/-244010soft"
601,"0hard/-243560soft"
606,"0hard/-243190soft"
608,"0hard/-242840soft"
609,"0hard/-241240soft"
612,"0hard/-240890soft"
620,"0hard/-240840soft"
625,"0hard/-240120soft"
691,"0hard/-240100soft"
692,"0hard/-239650soft"
693,"0hard/-239010soft"
697,"0hard/-238760soft"
706,"0hard/-238220soft"
732,"0hard/-237950soft"
835,"0hard/-237770soft"
842,"0hard/-237500soft"
843,"0hard/-237240soft"
845,"0hard/-237030soft"
846,"0hard/-236680soft"
873,"0hard/-236560soft"
884,"0hard/-236500soft"
886,"0hard/-236390soft"
898,"0hard/-235930soft"
898,"0hard/-235580soft"
948,"0hard/-235450soft"
976,"0hard/-234830soft"
976,"0hard/-234790soft"
976,"0hard/-234440soft"
977,"0hard/-234090soft"
1086,"0hard/-234030soft"
1087,"0hard/-233580soft"
1115,"0hard/-233160soft"
1158,"0hard/-232900soft"
1187,"0hard/-232570soft"
1187,"0hard/-232120soft"
1188,"0hard/-231420soft"
1346,"0hard/-231410soft"
1346,"0hard/-230890soft"
1362,"0hard/-230870soft"
1362,"0hard/-230490soft"
1381,"0hard/-230300soft"
1424,"0hard/-230120soft"
1437,"0hard/-229920soft"
1437,"0hard/-229570soft"
1446,"0hard/-229440soft"
1527,"0hard/-229350soft"
1550,"0hard/-229170soft"
1559,"0hard/-228940soft"
1560,"0hard/-228520soft"
1627,"0hard/-228190soft"
1639,"0hard/-228040soft"
1646,"0hard/-227990soft"
1656,"0hard/-227950soft"
1661,"0hard/-227850soft"
1667,"0hard/-227710soft"
1674,"0hard/-227700soft"
1681,"0hard/-227640soft"
1702,"0hard/-227340soft"
1737,"0hard/-227250soft"
1754,"0hard/-227040soft"
1755,"0hard/-226970soft"
1757,"0hard/-226830soft"
1757,"0hard/-226350soft"
1824,"0hard/-226330soft"
1832,"0hard/-226210soft"
1842,"0hard/-226190soft"
1859,"0hard/-226180soft"
1859,"0hard/-225830soft"
1859,"0hard/-225350soft"
1876,"0hard/-225230soft"
1890,"0hard/-225210soft"
1908,"0hard/-225030soft"
1911,"0hard/-224850soft"
1961,"0hard/-224400soft"
1977,"0hard/-224050soft"
2032,"0hard/-223860soft"
2041,"0hard/-223820soft"
2043,"0hard/-223510soft"
2058,"0hard/-223490soft"
2059,"0hard/-223340soft"
2084,"0hard/-223240soft"
2094,"0hard/-223010soft"
2141,"0hard/-222900soft"
2148,"0hard/-222600soft"
2167,"0hard/-222300soft"
2189,"0hard/-222210soft"
2191,"0hard/-222110soft"
2228,"0hard/-222080soft"
2236,"0hard/-221880soft"
