"timeMillisSpent","score"
140,"0hard/-244360soft"
145,"0hard/-243760soft"
147,"0hard/-242160soft"
155,"0hard/-241770soft"
164,"0hard/-241390soft"
219,"0hard/-241250soft"
268,"0hard/-241120soft"
1477,"0hard/-240730soft"
1546,"0hard/-240600soft"
6982,"0hard/-240250soft"
7006,"0hard/-239280soft"
9438,"0hard/-238720soft"
11281,"0hard/-238370soft"
11363,"0hard/-238020soft"
11964,"0hard/-237980soft"
12027,"0hard/-237950soft"
12063,"0hard/-237890soft"
12105,"0hard/-237850soft"
12643,"0hard/-237370soft"
12685,"0hard/-237330soft"
13241,"0hard/-236710soft"
13263,"0hard/-236090soft"
20095,"0hard/-235740soft"
25349,"0hard/-234960soft"
25386,"0hard/-234860soft"
28314,"0hard/-234080soft"
28386,"0hard/-233980soft"
35169,"0hard/-233630soft"
35209,"0hard/-233150soft"
37100,"0hard/-232770soft"
37145,"0hard/-232730soft"
37190,"0hard/-232670soft"
48178,"0hard/-232290soft"
48233,"0hard/-232250soft"
52022,"0hard/-231900soft"
52077,"0hard/-231550soft"
52753,"0hard/-231160soft"
52845,"0hard/-231130soft"
55954,"0hard/-230340soft"
56010,"0hard/-229990soft"
60395,"0hard/-229640soft"
62828,"0hard/-228860soft"
62905,"0hard/-228770soft"
65408,"0hard/-227170soft"
65476,"0hard/-226390soft"
69258,"0hard/-226040soft"
74350,"0hard/-225560soft"
78172,"0hard/-225180soft"
78229,"0hard/-224830soft"
88386,"0hard/-224480soft"
88456,"0hard/-224130soft"
90375,"0hard/-223780soft"
90446,"0hard/-223430soft"
107262,"0hard/-223080soft"
108638,"0hard/-222730soft"
108716,"0hard/-222380soft"
109415,"0hard/-221990soft"
117606,"0hard/-221210soft"
131897,"0hard/-220550soft"
134989,"0hard/-220160soft"
153585,"0hard/-219600soft"
153658,"0hard/-219120soft"
160430,"0hard/-218480soft"
182100,"0hard/-217410soft"
182118,"0hard/-216540soft"
182153,"0hard/-216340soft"
191308,"0hard/-215550soft"
210372,"0hard/-214790soft"
210407,"0hard/-214750soft"
210482,"0hard/-214300soft"
