"timeMillisSpent","score"
1316,"0hard/-1075950soft"
1326,"0hard/-1075600soft"
1329,"0hard/-1075250soft"
1331,"0hard/-1074820soft"
1333,"0hard/-1074030soft"
1334,"0hard/-1073610soft"
1337,"0hard/-1073260soft"
1338,"0hard/-1072910soft"
1338,"0hard/-1072520soft"
1339,"0hard/-1072070soft"
1339,"0hard/-1071720soft"
1340,"0hard/-1070840soft"
1342,"0hard/-1070160soft"
1343,"0hard/-1069780soft"
1344,"0hard/-1069390soft"
1344,"0hard/-1068790soft"
1346,"0hard/-1068440soft"
1348,"0hard/-1068090soft"
1349,"0hard/-1067740soft"
1349,"0hard/-1067390soft"
1353,"0hard/-1067040soft"
1354,"0hard/-1066690soft"
1354,"0hard/-1066240soft"
1355,"0hard/-1065890soft"
1356,"0hard/-1064920soft"
1357,"0hard/-1064340soft"
1359,"0hard/-1063990soft"
1362,"0hard/-1063390soft"
1365,"0hard/-1063040soft"
1366,"0hard/-1062580soft"
1367,"0hard/-1061710soft"
1369,"0hard/-1061150soft"
1370,"0hard/-1060630soft"
1371,"0hard/-1060150soft"
1372,"0hard/-1059760soft"
1372,"0hard/-1059200soft"
1373,"0hard/-1058810soft"
1375,"0hard/-1058460soft"
1378,"0hard/-1057940soft"
1379,"0hard/-1057490soft"
1383,"0hard/-1057420soft"
1384,"0hard/-1057000soft"
1387,"0hard/-1056610soft"
1387,"0hard/-1056260soft"
1388,"0hard/-1056180soft"
1388,"0hard/-1055830soft"
1390,"0hard/-1055440soft"
1391,"0hard/-1055090soft"
1392,"0hard/-1054570soft"
1394,"0hard/-1054010soft"
1396,"0hard/-1053530soft"
1398,"0hard/-1053180soft"
1400,"0hard/-1052600soft"
1401,"0hard/-1052250soft"
1402,"0hard/-1051860soft"
1403,"0hard/-1051510soft"
1404,"0hard/-1051030soft"
1407,"0hard/-1050230soft"
1407,"0hard/-1049850soft"
1408,"0hard/-1049430soft"
1410,"0hard/-1049040soft"
1410,"0hard/-1048500soft"
1412,"0hard/-1047980soft"
1412,"0hard/-1047600soft"
1414,"0hard/-1047150soft"
1418,"0hard/-1046700soft"
1418,"0hard/-1046350soft"
1424,"0hard/-1046000soft"
1428,"0hard/-1045480soft"
1428,"0hard/-1045100soft"
1429,"0hard/-1044750soft"
1429,"0hard/-1044360soft"
1431,"0hard/-1043940soft"
1432,"0hard/-1043590soft"
1432,"0hard/-1043070soft"
1432,"0hard/-1042720soft"
1435,"0hard/-1042590soft"
1438,"0hard/-1042240soft"
1440,"0hard/-1041890soft"
