"timeMillisSpent","score"
276,"-324hard/-28885soft"
303,"-304hard/-28965soft"
304,"-271hard/-28730soft"
307,"-217hard/-30430soft"
317,"-209hard/-39285soft"
1053,"-208hard/-48780soft"
1178,"-208hard/-47540soft"
1226,"-206hard/-44245soft"
1227,"-205hard/-44285soft"
1400,"-204hard/-53840soft"
1407,"-200hard/-50840soft"
1472,"-196hard/-51410soft"
1473,"-196hard/-51385soft"
1473,"-195hard/-51340soft"
1576,"-195hard/-50725soft"
1576,"-195hard/-50705soft"
1643,"-192hard/-56900soft"
1793,"-182hard/-53640soft"
1794,"-182hard/-53625soft"
1794,"-182hard/-53205soft"
1924,"-173hard/-52570soft"
1996,"-164hard/-56250soft"
2527,"-146hard/-49430soft"
2527,"-146hard/-49015soft"
2527,"-146hard/-48935soft"
2528,"-146hard/-48910soft"
2621,"-145hard/-53455soft"
3392,"-141hard/-54475soft"
3909,"-141hard/-50820soft"
3910,"-140hard/-50800soft"
3930,"-138hard/-52440soft"
4001,"-137hard/-47675soft"
4008,"-137hard/-45435soft"
4014,"-134hard/-49340soft"
4218,"-134hard/-47970soft"
4313,"-134hard/-47645soft"
4394,"-131hard/-53435soft"
4394,"-131hard/-53390soft"
4491,"-122hard/-45280soft"
4622,"-120hard/-47090soft"
4712,"-119hard/-47410soft"
4921,"-116hard/-48805soft"
4921,"-116hard/-48145soft"
5065,"-115hard/-51410soft"
5099,"-105hard/-51600soft"
5571,"-103hard/-45595soft"
6001,"-100hard/-55965soft"
6262,"-96hard/-52875soft"
6455,"-96hard/-51920soft"
6456,"-95hard/-51960soft"
6457,"-94hard/-51605soft"
6462,"-92hard/-52990soft"
6503,"-84hard/-63030soft"
6508,"-82hard/-62765soft"
6508,"-82hard/-62740soft"
6509,"-82hard/-62680soft"
6509,"-81hard/-62505soft"
7389,"-78hard/-58420soft"
7389,"-77hard/-58400soft"
7799,"-76hard/-56285soft"
8355,"-75hard/-56110soft"
8388,"-71hard/-53555soft"
8872,"-71hard/-49465soft"
8930,"-70hard/-56550soft"
8931,"-69hard/-58040soft"
8931,"-69hard/-57820soft"
8931,"-66hard/-57785soft"
9448,"-65hard/-57485soft"
9448,"-65hard/-57055soft"
9450,"-64hard/-57165soft"
9450,"-64hard/-57140soft"
9450,"-63hard/-57160soft"
9451,"-63hard/-56995soft"
9719,"-61hard/-47290soft"
10184,"-61hard/-45985soft"
10426,"-60hard/-40825soft"
10426,"-59hard/-40755soft"
10426,"-58hard/-40775soft"
10896,"-54hard/-47370soft"
10897,"-54hard/-46995soft"
11340,"-54hard/-46775soft"
11783,"-53hard/-53625soft"
11783,"-52hard/-53885soft"
11783,"-51hard/-53905soft"
11786,"-50hard/-54420soft"
11993,"-48hard/-45530soft"
12288,"-46hard/-45015soft"
12888,"-45hard/-47375soft"
13216,"-44hard/-49510soft"
13216,"-42hard/-49550soft"
13965,"-42hard/-47145soft"
14018,"-42hard/-42955soft"
14202,"-41hard/-46440soft"
14202,"-41hard/-46420soft"
14203,"-41hard/-45955soft"
14203,"-40hard/-45980soft"
14248,"-39hard/-49875soft"
14248,"-39hard/-49720soft"
14248,"-38hard/-49700soft"
14546,"-35hard/-54540soft"
14547,"-34hard/-53435soft"
15808,"-27hard/-61455soft"
15809,"-26hard/-61200soft"
15809,"-25hard/-62500soft"
19872,"-25hard/-46545soft"
19872,"-25hard/-46520soft"
19872,"-25hard/-46505soft"
19874,"-25hard/-46335soft"
19976,"-25hard/-46320soft"
19976,"-25hard/-46295soft"
19977,"-24hard/-46830soft"
19978,"-24hard/-46740soft"
19983,"-24hard/-44590soft"
20127,"-24hard/-44515soft"
20243,"-24hard/-42960soft"
20244,"-24hard/-42915soft"
