"timeMillisSpent","score"
3279,"-16hard/-27297soft"
3462,"-16hard/-25142soft"
3611,"-16hard/-25121soft"
3780,"-15hard/-12331soft"
3940,"-15hard/-9994soft"
4092,"0hard/-9994soft"
4260,"0hard/-9814soft"
4426,"0hard/-9809soft"
4580,"0hard/-9763soft"
4818,"0hard/-9758soft"
4980,"0hard/-9733soft"
5292,"0hard/-9732soft"
5437,"0hard/-9730soft"
5752,"0hard/-9729soft"
6209,"0hard/-9728soft"
6644,"0hard/-9727soft"
6807,"0hard/-9719soft"
6957,"0hard/-9717soft"
7116,"0hard/-9716soft"
7258,"0hard/-9712soft"
7416,"0hard/-9711soft"
7572,"0hard/-9695soft"
7732,"0hard/-9690soft"
7888,"0hard/-9680soft"
8253,"0hard/-9669soft"
8403,"0hard/-9630soft"
8693,"0hard/-9611soft"
8837,"0hard/-9599soft"
8995,"0hard/-9598soft"
9754,"0hard/-9590soft"
9906,"0hard/-9512soft"
10062,"0hard/-9511soft"
10369,"0hard/-9493soft"
10695,"0hard/-9492soft"
10977,"0hard/-9491soft"
11127,"0hard/-9489soft"
11420,"0hard/-9481soft"
11566,"0hard/-9479soft"
11714,"0hard/-9478soft"
11853,"0hard/-9477soft"
12166,"0hard/-9475soft"
12611,"0hard/-9473soft"
12753,"0hard/-9464soft"
13239,"0hard/-9461soft"
13399,"0hard/-9460soft"
13723,"0hard/-9445soft"
13872,"0hard/-9440soft"
14016,"0hard/-9439soft"
14173,"0hard/-9438soft"
14353,"0hard/-9437soft"
14664,"0hard/-9432soft"
14958,"0hard/-9431soft"
15242,"0hard/-9426soft"
16137,"0hard/-9422soft"
16278,"0hard/-9421soft"
16433,"0hard/-9418soft"
16882,"0hard/-9414soft"
17200,"0hard/-9412soft"
17355,"0hard/-9411soft"
17505,"0hard/-9409soft"
17659,"0hard/-9406soft"
17814,"0hard/-9405soft"
17959,"0hard/-9404soft"
18569,"0hard/-9400soft"
18868,"0hard/-9386soft"
19168,"0hard/-9385soft"
20299,"0hard/-9384soft"
20941,"0hard/-9378soft"
21411,"0hard/-9374soft"
22191,"0hard/-9373soft"
22663,"0hard/-9372soft"
23541,"0hard/-9366soft"
23699,"0hard/-9365soft"
23854,"0hard/-9363soft"
24030,"0hard/-9361soft"
24778,"0hard/-9360soft"
25081,"0hard/-9359soft"
25392,"0hard/-9358soft"
25839,"0hard/-9338soft"
26290,"0hard/-9337soft"
26448,"0hard/-9332soft"
26599,"0hard/-9329soft"
27061,"0hard/-9323soft"
27659,"0hard/-9321soft"
27808,"0hard/-9320soft"
28723,"0hard/-9319soft"
29019,"0hard/-9318soft"
29173,"0hard/-9317soft"
29785,"0hard/-9313soft"
30228,"0hard/-9312soft"
30372,"0hard/-9285soft"
30524,"0hard/-9283soft"
31744,"0hard/-9282soft"
32230,"0hard/-9281soft"
