"timeMillisSpent","score"
73,"[0]hard/[-4235/-7161629/-8318/-21402]soft"
81,"[0]hard/[-4180/-7514925/-8515/-22254]soft"
81,"[0]hard/[-4180/-7005784/-8204/-21331]soft"
83,"[0]hard/[-4113/-7760520/-9068/-22272]soft"
85,"[0]hard/[-4086/-7995213/-8750/-23214]soft"
220,"[0]hard/[-4072/-11377093/-15875/-24455]soft"
220,"[0]hard/[-4072/-11377093/-15539/-24996]soft"
233,"[0]hard/[-4058/-10744549/-15031/-25148]soft"
233,"[0]hard/[-4058/-10744549/-13784/-26395]soft"
233,"[0]hard/[-4058/-10584561/-13876/-26168]soft"
293,"[0]hard/[-4039/-25842612/-22053/-44858]soft"
294,"[0]hard/[-4039/-25842612/-21901/-44380]soft"
294,"[0]hard/[-4039/-24763284/-21037/-43220]soft"
295,"[0]hard/[-4039/-24763284/-20233/-43257]soft"
297,"[0]hard/[-4039/-24737214/-20797/-39155]soft"
297,"[0]hard/[-4039/-24737214/-20599/-39465]soft"
298,"[0]hard/[-4039/-23827794/-18531/-39373]soft"
303,"[0]hard/[-4039/-23638670/-14939/-43925]soft"
304,"[0]hard/[-4039/-23015290/-18210/-39890]soft"
362,"[0]hard/[-3970/-9753606/-11233/-27334]soft"
364,"[0]hard/[-3970/-9753606/-11213/-26486]soft"
557,"[0]hard/[-3961/-9414205/-11660/-24663]soft"
566,"[0]hard/[-3948/-10276949/-13444/-25333]soft"
569,"[0]hard/[-3948/-10276949/-13278/-24951]soft"
570,"[0]hard/[-3948/-10080717/-13263/-24622]soft"
593,"[0]hard/[-3948/-7171068/-9108/-22350]soft"
594,"[0]hard/[-3948/-7171068/-8884/-22536]soft"
697,"[0]hard/[-3938/-16990201/-17247/-32950]soft"
697,"[0]hard/[-3938/-16990201/-17019/-33361]soft"
697,"[0]hard/[-3938/-16158669/-19269/-29738]soft"
697,"[0]hard/[-3938/-14378988/-17016/-29555]soft"
698,"[0]hard/[-3938/-13524428/-15596/-29219]soft"
737,"[0]hard/[-3925/-8060829/-11073/-23744]soft"
752,"[0]hard/[-3925/-6820244/-9103/-21075]soft"
752,"[0]hard/[-3925/-6727324/-9195/-21068]soft"
1204,"[0]hard/[-3925/-6676795/-10790/-19004]soft"
1232,"[0]hard/[-3925/-6653955/-10968/-19411]soft"
1247,"[0]hard/[-3925/-6442539/-10518/-18370]soft"
1324,"[0]hard/[-3925/-6427867/-9252/-20314]soft"
1325,"[0]hard/[-3925/-6394852/-10493/-19043]soft"
1343,"[0]hard/[-3925/-6371332/-10021/-19295]soft"
1383,"[0]hard/[-3925/-6333260/-9200/-19847]soft"
1403,"[0]hard/[-3925/-6331655/-9221/-19607]soft"
1425,"[0]hard/[-3925/-6312519/-9598/-20215]soft"
1446,"[0]hard/[-3925/-6293940/-7973/-20323]soft"
1600,"[0]hard/[-3925/-6293940/-7884/-20149]soft"
1621,"[0]hard/[-3925/-6293940/-7825/-21466]soft"
1711,"[0]hard/[-3925/-6293940/-7772/-20654]soft"
2264,"[0]hard/[-3925/-6293940/-7772/-20569]soft"
2264,"[0]hard/[-3925/-6293940/-7772/-20525]soft"
2341,"[0]hard/[-3925/-6293940/-7772/-20512]soft"
2377,"[0]hard/[-3925/-6293940/-7772/-20474]soft"
2559,"[0]hard/[-3925/-6293940/-7772/-20463]soft"
